id,title,old_filename,file_name,volume,year
42575,As Long As I Live,042575.pdf,As Long As I Live.pdf,Vol3,1934
19458,Ask Me Now,019458.pdf,Ask Me Now.pdf,Vol2,1978
45140,At Long Last Love,045140.pdf,At Long Last Love.pdf,Vol3,1937
45330,At Sundown,045330.pdf,At Sundown.pdf,Vol3,1927
512730,At The Mambo Inn,512730.pdf,At The Mambo Inn.pdf,Vol2,1952
46200,Au Privave,046200.pdf,Au Privave.pdf,Vol1,1956
56890,Autumn In 3,056890.pdf,Autumn In 3.pdf,Vol3,1996
47680,Autumn In New York,047680.pdf,Autumn In New York.pdf,Vol1,1934
47880,Autumn Leaves,047880.pdf,Autumn Leaves.pdf,Vol1,1947
48450,Avalon,048450.pdf,Avalon.pdf,Vol2,1920
19090,Azure,019090.pdf,Azure.pdf,Vol2,1937
17889,Ba-Lue Bolivar Ba-Lues-Are (Bolivar Blues),017889.pdf,Ba-Lue Bolivar Ba-Lues-Are Bolivar Blues.pdf,Vol2,1958
52160,|Baby, It's Cold Outside|,052160.pdf,Baby It's Cold Outside.pdf,Vol2,1948
55072,Bags And Trane,055072.pdf,Bags And Trane.pdf,Vol2,1961
53850,Bags' Groove,053850.pdf,Bags' Groove.pdf,Vol2,1958
18965,Baia (Bahía),018965.pdf,Baia Bahía.pdf,Vol3,1938
55550,Bali Ha'i,055550.pdf,Bali Ha'i.pdf,Vol2,1949
56891,Ballad For Trane,056891.pdf,Ballad For Trane.pdf,Vol3,1996
56350,Baltimore Oriole,056350.pdf,Baltimore Oriole.pdf,Vol2,1942
57935,Barbados,057935.pdf,Barbados.pdf,Vol2,1948
54956,Barbara,054956.pdf,Barbara.pdf,Vol2,1974
59000,Bark For Barksdale,059000.pdf,Bark For Barksdale.pdf,Vol3,1954
60230,Basin Street Blues,060230.pdf,Basin Street Blues.pdf,Vol2,1928
63080,|Be Careful, It's My Heart|,063080.pdf,Be Careful It's My Heart.pdf,Vol3,1942
62780,Be-Bop,062780.pdf,Be-Bop.pdf,Vol2,1944
983310,Beautiful Love,983310.pdf,Beautiful Love.pdf,Vol1,1931
15852,Beauty And The Beast,015852.pdf,Beauty And The Beast.pdf,Vol1,1976
69425,Bein' Green,069425.pdf,Bein' Green.pdf,Vol3,1970
72680,Bernie's Tune,072680.pdf,Bernie's Tune.pdf,Vol3,1953
73101,Bessie's Blues,073101.pdf,Bessie's Blues.pdf,Vol1,1977
54991,Better Leave It Alone,054991.pdf,Better Leave It Alone.pdf,Vol2,1962
73300,Between The Devil And The Deep Blue Sea,073300.pdf,Between The Devil And The Deep Blue Sea.pdf,Vol3,1931
73530,Bewitched,073530.pdf,Bewitched.pdf,Vol1,1941
73630,Beyond The Blue Horizon,073630.pdf,Beyond The Blue Horizon.pdf,Vol3,1930
73810,Beyond The Sea,073810.pdf,Beyond The Sea.pdf,Vol2,1945
75578,Big Nick,075578.pdf,Big Nick.pdf,Vol1,1977
75590,Big P,075590.pdf,Big P.pdf,Vol2,1960
76290,Bijou,076290.pdf,Bijou.pdf,Vol3,1945
58036,Bill's Hit Tune,058036.pdf,Bill's Hit Tune.pdf,Vol2,1979
79015,Billie's Blues (I Love My Man),079015.pdf,Billie's Blues I Love My Man.pdf,Vol2,1956
78665,Billie's Bounce (Bill's Bounce),078665.pdf,Billie's Bounce Bill's Bounce.pdf,Vol2,1945
79220,Bird Feathers,079220.pdf,Bird Feathers.pdf,Vol2,1961
79600,Birdland,079600.pdf,Birdland.pdf,Vol2,1977
13013,Birk's Works,013013.pdf,Birk's Works.pdf,Vol2,1957
38930,Bitches Brew,038930.pdf,Bitches Brew.pdf,Vol3,1969
81490,Black And Tan Fantasy,081490.pdf,Black And Tan Fantasy.pdf,Vol2,1927
81520,Black Coffee,081520.pdf,Black Coffee.pdf,Vol1,1948
60802,Black Diamond,060802.pdf,Black Diamond.pdf,Vol1,1978
