id	file_name	composer	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality
27	dataset/jazz1350/A Tisket A Tasket.xml	Traditional	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	A Tisket A Tasket	dataset/jazz1350/A Tisket A Tasket.xml		jazz1350	A Tisket A Tasket [jazz1350]	Eb	major	4.0	4.0	-3.0		AABA	4/4	Eb major
28	dataset/jazz1350/A Weaver Of Dreams.xml	Victor Young	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	A Weaver Of Dreams	dataset/jazz1350/A Weaver Of Dreams.xml	1979.0	jazz1350	A Weaver Of Dreams [jazz1350]	C	major	4.0	4.0	0.0	1979.0	ABAC	4/4	C major
29	dataset/jazz1350/A Wonderful Day Like Today.xml	Bricusse-Newley	Up Tempo Swing	{'1': 'A', '17': 'A', '33': 'B', '49': 'A'}	68.0	2.0	A Wonderful Day Like Today	dataset/jazz1350/A Wonderful Day Like Today.xml	1964.0	jazz1350	A Wonderful Day Like Today [jazz1350]	Eb	major	4.0	4.0	-3.0	1964.0	AABA	4/4	Eb major
30	dataset/jazz1350/Ablution.xml	Lennie Tristano	Medium Swing	{'1': 'A', '9': 'B', '17': 'C', '25': 'D'}	36.0	1.0	Ablution	dataset/jazz1350/Ablution.xml	1980.0	jazz1350	Ablution [jazz1350]	Ab	major	4.0	4.0	-4.0	1980.0	ABCD	4/4	Ab major
31	dataset/jazz1350/Ac-Cent-Tchu-Ate The Positive.xml	Harold Arlen	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Ac-Cent-Tchu-Ate The Positive	dataset/jazz1350/Ac-Cent-Tchu-Ate The Positive.xml	1944.0	jazz1350	Ac-Cent-Tchu-Ate The Positive [jazz1350]	F	major	4.0	4.0	-1.0	1944.0	AABA	4/4	F major
32	dataset/jazz1350/Across The Alley From The Alamo.xml	Joe Greene	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Across The Alley From The Alamo	dataset/jazz1350/Across The Alley From The Alamo.xml	1946.0	jazz1350	Across The Alley From The Alamo [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	AABA	4/4	F major
33	dataset/jazz1350/Adam's Apple.xml	Wayne Shorter	Even 8ths	{'1': 'A'}	24.0	1.0	Adam's Apple	dataset/jazz1350/Adam's Apple.xml	1968.0	jazz1350	Adam's Apple [jazz1350]	Ab	major	4.0	4.0	-4.0	1968.0	A	4/4	Ab major
34	dataset/jazz1350/African Queen, The.xml	Horace Silver	Latin	{'1': 'A', '9': 'A', '17': 'B'}	22.0	2.0	African Queen, The	dataset/jazz1350/African Queen, The.xml	1965.0	jazz1350	African Queen, The [jazz1350]	C	minor	4.0	4.0	-3.0	1965.0	AAB	4/4	C minor
35	dataset/jazz1350/Afro Blue.xml	Mongo Santamaria	Waltz	{'1': 'A'}	16.0	2.0	Afro Blue	dataset/jazz1350/Afro Blue.xml	1959.0	jazz1350	Afro Blue [jazz1350]	F	minor	3.0	4.0	-4.0	1959.0	A	3/4	F minor
36	dataset/jazz1350/Afro Centric.xml	Joe Henderson	Up Tempo Swing	{'1': 'A'}	26.0	1.0	Afro Centric	dataset/jazz1350/Afro Centric.xml		jazz1350	Afro Centric [jazz1350]	C#	major	4.0	4.0	-5.0		A	4/4	C# major
37	dataset/jazz1350/After You've Gone.xml	Henry Creamer	Up Tempo Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	40.0	2.0	After You've Gone	dataset/jazz1350/After You've Gone.xml	1918.0	jazz1350	After You've Gone [jazz1350]	Bb	major	4.0	4.0	-2.0	1918.0	ABAC	4/4	Bb major
38	dataset/jazz1350/After You.xml	Cole Porter	Ballad	{'1': 'A', '15': 'B', '25': 'C'}	32.0	2.0	After You	dataset/jazz1350/After You.xml	1932.0	jazz1350	After You [jazz1350]	F	major	4.0	4.0	-1.0	1932.0	ABC	4/4	F major
39	dataset/jazz1350/Afternoon In Paris.xml	John Lewis	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Afternoon In Paris	dataset/jazz1350/Afternoon In Paris.xml	1955.0	jazz1350	Afternoon In Paris [jazz1350]	C	major	4.0	4.0	0.0	1955.0	AABA	4/4	C major
40	dataset/jazz1350/Again.xml	Lionel Newman	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'C'}	32.0	2.0	Again	dataset/jazz1350/Again.xml		jazz1350	Again [jazz1350]	G	major	4.0	4.0	1.0		AABC	4/4	G major
41	dataset/jazz1350/Agua De Beber.xml	Antonio Carlos Jobim	Bossa Nova	{'1': 'intro', '9': 'A', '25': 'B', '33': 'C'}	40.0	2.0	Agua De Beber	dataset/jazz1350/Agua De Beber.xml	1961.0	jazz1350	Agua De Beber [jazz1350]	D	minor	4.0	4.0	-1.0	1961.0	introABC	4/4	D minor
42	dataset/jazz1350/Ain't Misbehavin'.xml	Fats Waller	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Ain't Misbehavin'	dataset/jazz1350/Ain't Misbehavin'.xml	1929.0	jazz1350	Ain't Misbehavin' [jazz1350]	C	major	4.0	4.0	0.0	1929.0	AABA	4/4	C major
43	dataset/jazz1350/Ain't She Sweet.xml	Milton Ager	Medium Up Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Ain't She Sweet	dataset/jazz1350/Ain't She Sweet.xml	1927.0	jazz1350	Ain't She Sweet [jazz1350]	Eb	major	4.0	4.0	-3.0	1927.0	AABA	4/4	Eb major
44	dataset/jazz1350/Airegin.xml	Sonny Rollins	Up Tempo Swing	{'1': 'A', '9': 'B', '21': 'A', '29': 'C'}	36.0	2.0	Airegin	dataset/jazz1350/Airegin.xml	1963.0	jazz1350	Airegin [jazz1350]	F	minor	4.0	4.0	-4.0	1963.0	ABAC	4/4	F minor
45	dataset/jazz1350/Airmail Special.xml	Charlie Christian	Medium Up Swing	{'1': 'intro', '17': 'A', '25': 'A', '33': 'B'}	40.0	2.0	Airmail Special	dataset/jazz1350/Airmail Special.xml	1941.0	jazz1350	Airmail Special [jazz1350]	C	major	4.0	4.0	0.0	1941.0	introAAB	4/4	C major
46	dataset/jazz1350/Aisha.xml	McCoy Tyner	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	34.0	4.0	Aisha	dataset/jazz1350/Aisha.xml	1961.0	jazz1350	Aisha [jazz1350]	A	minor	4.0	4.0	0.0	1961.0	AABA	4/4	A minor
47	dataset/jazz1350/Alexander's Ragtime Band.xml	Irving Berlin	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	Alexander's Ragtime Band	dataset/jazz1350/Alexander's Ragtime Band.xml	1911.0	jazz1350	Alexander's Ragtime Band [jazz1350]	F	major	4.0	4.0	-1.0	1911.0	ABAC	4/4	F major
48	dataset/jazz1350/Alfie's Theme.xml	Sonny Rollins	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Alfie's Theme	dataset/jazz1350/Alfie's Theme.xml	1966.0	jazz1350	Alfie's Theme [jazz1350]	Bb	minor	4.0	4.0	-5.0	1966.0	AABA	4/4	Bb minor
49	dataset/jazz1350/Alfie.xml	Burt Bacharach	Ballad	{'1': 'A', '11': 'A', '19': 'B', '27': 'A'}	40.0	2.0	Alfie	dataset/jazz1350/Alfie.xml	1966.0	jazz1350	Alfie [jazz1350]	Bb	major	4.0	4.0	-2.0	1966.0	AABA	4/4	Bb major
50	dataset/jazz1350/Alice In Wonderland.xml	Sammy Fain	Waltz	{'1': 'A', '17': 'A', '33': 'B'}	48.0	1.0	Alice In Wonderland	dataset/jazz1350/Alice In Wonderland.xml	1951.0	jazz1350	Alice In Wonderland [jazz1350]	C	major	3.0	4.0	0.0	1951.0	AAB	3/4	C major
51	dataset/jazz1350/All About Ronnie.xml	Joe Greene	Ballad	{'1': 'A', '17': 'B'}	30.0	2.0	All About Ronnie	dataset/jazz1350/All About Ronnie.xml		jazz1350	All About Ronnie [jazz1350]	Bb	major	4.0	4.0	-2.0		AB	4/4	Bb major
52	dataset/jazz1350/All Blues.xml	Miles Davis	Waltz	{'1': 'A'}	24.0	1.0	All Blues	dataset/jazz1350/All Blues.xml	1959.0	jazz1350	All Blues [jazz1350]	G	major	3.0	4.0	1.0	1959.0	A	3/4	G major
53	dataset/jazz1350/All By Myself.xml	Irving Berlin	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	All By Myself	dataset/jazz1350/All By Myself.xml	1921.0	jazz1350	All By Myself [jazz1350]	C	major	4.0	4.0	0.0	1921.0	ABAC	4/4	C major
54	dataset/jazz1350/All God's Chillun Got Rhythm.xml	Kahn-Kaper	Medium Up Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	All God's Chillun Got Rhythm	dataset/jazz1350/All God's Chillun Got Rhythm.xml	1937.0	jazz1350	All God's Chillun Got Rhythm [jazz1350]	F	major	4.0	4.0	-1.0	1937.0	ABAC	4/4	F major
55	dataset/jazz1350/All My Tomorrows.xml	Jimmy Van Heusen	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	36.0	3.0	All My Tomorrows	dataset/jazz1350/All My Tomorrows.xml	1959.0	jazz1350	All My Tomorrows [jazz1350]	G	major	4.0	4.0	1.0	1959.0	AABA	4/4	G major
56	dataset/jazz1350/All Of A Sudden My Heart Sings.xml	Herpin-Jamblan-Rome	Ballad	{'1': 'A', '17': 'B'}	32.0	2.0	All Of A Sudden My Heart Sings	dataset/jazz1350/All Of A Sudden My Heart Sings.xml	1941.0	jazz1350	All Of A Sudden My Heart Sings [jazz1350]	C	major	4.0	4.0	0.0	1941.0	AB	4/4	C major
57	dataset/jazz1350/All Of Me.xml	Gerald Marks	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	All Of Me	dataset/jazz1350/All Of Me.xml	1931.0	jazz1350	All Of Me [jazz1350]	C	major	4.0	4.0	0.0	1931.0	ABAC	4/4	C major
58	dataset/jazz1350/All Of You.xml	Cole Porter	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	All Of You	dataset/jazz1350/All Of You.xml	1954.0	jazz1350	All Of You [jazz1350]	Eb	major	4.0	4.0	-3.0	1954.0	ABAC	4/4	Eb major
59	dataset/jazz1350/All Or Nothing At All.xml	Arthur Altman	Medium Up Swing	{'1': 'A', '17': 'A', '33': 'B', '49': 'C'}	64.0	2.0	All Or Nothing At All	dataset/jazz1350/All Or Nothing At All.xml	1939.0	jazz1350	All Or Nothing At All [jazz1350]	A	minor	4.0	4.0	0.0	1939.0	AABC	4/4	A minor
60	dataset/jazz1350/All The Things You Are.xml	Jerome Kern	Medium Up Swing	{'1': 'A', '9': 'B', '17': 'C', '25': 'D'}	36.0	2.0	All The Things You Are	dataset/jazz1350/All The Things You Are.xml	1939.0	jazz1350	All The Things You Are [jazz1350]	Ab	major	4.0	4.0	-4.0	1939.0	ABCD	4/4	Ab major
61	dataset/jazz1350/All The Way.xml	Jimmy Van Heusen	Ballad	{'1': 'A', '17': 'B'}	34.0	2.0	All The Way	dataset/jazz1350/All The Way.xml	1957.0	jazz1350	All The Way [jazz1350]	Eb	major	4.0	4.0	-3.0	1957.0	AB	4/4	Eb major
62	dataset/jazz1350/All Through The Day.xml	Kern-Hammerstein	Medium Swing	{'1': 'A', '9': 'B', '17': 'C', '25': 'D'}	32.0	2.0	All Through The Day	dataset/jazz1350/All Through The Day.xml	1946.0	jazz1350	All Through The Day [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	ABCD	4/4	F major
63	dataset/jazz1350/All Through The Night.xml	Cole Porter	Medium Swing	{'1': 'A', '17': 'A', '33': 'B', '49': 'C'}	64.0	2.0	All Through The Night	dataset/jazz1350/All Through The Night.xml	1934.0	jazz1350	All Through The Night [jazz1350]	F	major	4.0	4.0	-1.0	1934.0	AABC	4/4	F major
64	dataset/jazz1350/All Too Soon.xml	Duke Ellington	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	All Too Soon	dataset/jazz1350/All Too Soon.xml	1940.0	jazz1350	All Too Soon [jazz1350]	C	major	4.0	4.0	0.0	1940.0	AABA	4/4	C major
65	dataset/jazz1350/Almost Like Being In Love.xml	Frederick Loewe	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	36.0	2.0	Almost Like Being In Love	dataset/jazz1350/Almost Like Being In Love.xml	1947.0	jazz1350	Almost Like Being In Love [jazz1350]	Ab	major	4.0	4.0	-4.0	1947.0	AABA	4/4	Ab major
66	dataset/jazz1350/Alone Together.xml	Arthur Schwartz	Medium Swing	{'1': 'A', '15': 'A', '29': 'B', '37': 'A'}	44.0	2.0	Alone Together	dataset/jazz1350/Alone Together.xml	1932.0	jazz1350	Alone Together [jazz1350]	D	minor	4.0	4.0	-1.0	1932.0	AABA	4/4	D minor
67	dataset/jazz1350/Alone Too Long.xml	Arthur Schwartz	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Alone Too Long	dataset/jazz1350/Alone Too Long.xml	1954.0	jazz1350	Alone Too Long [jazz1350]	G	major	4.0	4.0	1.0	1954.0	AABA	4/4	G major
68	dataset/jazz1350/Along Came Betty.xml	Benny Golson	Medium Swing	{'1': 'A', '17': 'B', '25': 'C'}	34.0	2.0	Along Came Betty	dataset/jazz1350/Along Came Betty.xml	1958.0	jazz1350	Along Came Betty [jazz1350]	Ab	major	4.0	4.0	-4.0	1958.0	ABC	4/4	Ab major
69	dataset/jazz1350/Always And Forever.xml	Pat Metheny	Ballad	{'1': 'intro', '5': 'A', '13': 'B', '21': 'C'}	30.0	3.0	Always And Forever	dataset/jazz1350/Always And Forever.xml		jazz1350	Always And Forever [jazz1350]	A	minor	4.0	4.0	0.0		introABC	4/4	A minor
70	dataset/jazz1350/Always.xml	Irving Berlin	Waltz	{'1': 'A', '9': 'B', '17': 'C', '25': 'D'}	32.0	2.0	Always	dataset/jazz1350/Always.xml	1925.0	jazz1350	Always [jazz1350]	F	major	3.0	4.0	-1.0	1925.0	ABCD	3/4	F major
71	dataset/jazz1350/Am I Blue.xml	Harry Akst	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'C'}	32.0	2.0	Am I Blue	dataset/jazz1350/Am I Blue.xml	1929.0	jazz1350	Am I Blue [jazz1350]	F	major	4.0	4.0	-1.0	1929.0	AABC	4/4	F major
72	dataset/jazz1350/Among My Souvenirs.xml	Horatio Nicholls	Ballad	{'1': 'A', '9': 'A', '18': 'B', '26': 'A'}	34.0	2.0	Among My Souvenirs	dataset/jazz1350/Among My Souvenirs.xml	1927.0	jazz1350	Among My Souvenirs [jazz1350]	Eb	major	4.0	4.0	-3.0	1927.0	AABA	4/4	Eb major
73	dataset/jazz1350/Ana Maria.xml	Wayne Shorter	Even 8ths	{'1': 'A', '19': 'B', '35': 'C'}	50.0	2.0	Ana Maria	dataset/jazz1350/Ana Maria.xml	1974.0	jazz1350	Ana Maria [jazz1350]	G	major	4.0	4.0	1.0	1974.0	ABC	4/4	G major
74	dataset/jazz1350/Angel Eyes.xml	Matt Dennis	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Angel Eyes	dataset/jazz1350/Angel Eyes.xml	1946.0	jazz1350	Angel Eyes [jazz1350]	C	minor	4.0	4.0	-3.0	1946.0	AABA	4/4	C minor
75	dataset/jazz1350/Anthropology.xml	Charlie Parker	Up Tempo Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Anthropology	dataset/jazz1350/Anthropology.xml	1946.0	jazz1350	Anthropology [jazz1350]	Bb	major	4.0	4.0	-2.0	1946.0	AABA	4/4	Bb major
76	dataset/jazz1350/Anything Goes.xml	Cole Porter	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'C'}	32.0	2.0	Anything Goes	dataset/jazz1350/Anything Goes.xml	1934.0	jazz1350	Anything Goes [jazz1350]	C	major	4.0	4.0	0.0	1934.0	AABC	4/4	C major
77	dataset/jazz1350/April In Paris.xml	Vernon Duke	Medium Swing	{'1': 'A', '9': 'B', '17': 'C', '25': 'D'}	32.0	3.0	April In Paris	dataset/jazz1350/April In Paris.xml	1932.0	jazz1350	April In Paris [jazz1350]	C	major	4.0	4.0	0.0	1932.0	ABCD	4/4	C major
78	dataset/jazz1350/April Joy.xml	Pat Metheny	Even 8ths	{'1': 'A', '13': 'B'}	28.0	2.0	April Joy	dataset/jazz1350/April Joy.xml	1979.0	jazz1350	April Joy [jazz1350]	F	major	4.0	4.0	-1.0	1979.0	AB	4/4	F major
79	dataset/jazz1350/April Skies.xml	Buddy Collette	Medium Up Swing	{'1': 'A', '17': 'B'}	32.0	2.0	April Skies	dataset/jazz1350/April Skies.xml	1999.0	jazz1350	April Skies [jazz1350]	G	major	4.0	4.0	1.0	1999.0	AB	4/4	G major
80	dataset/jazz1350/April.xml	Lennie Tristano	Medium Up Swing	{'1': 'A', '17': 'B', '25': 'C', '33': 'A'}	48.0	2.0	April	dataset/jazz1350/April.xml		jazz1350	April [jazz1350]	G	major	4.0	4.0	1.0		ABCA	4/4	G major
81	dataset/jazz1350/Aren't You Glad You're You.xml	Jimmy Van Heusen	Medium Swing	{'1': 'A', '17': 'B'}	32.0	2.0	Aren't You Glad You're You	dataset/jazz1350/Aren't You Glad You're You.xml	1945.0	jazz1350	Aren't You Glad You're You [jazz1350]	F	major	4.0	4.0	-1.0	1945.0	AB	4/4	F major
82	dataset/jazz1350/Arise, Her Eyes.xml	Steve Swallow	Medium Swing	{'1': 'A'}	24.0	1.0	Arise, Her Eyes	dataset/jazz1350/Arise, Her Eyes.xml	1969.0	jazz1350	Arise, Her Eyes [jazz1350]	C	major	3.0	4.0	0.0	1969.0	A	3/4	C major
