id	file_name	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality	id	musicbrainz_id	musicbrainz_composer	musicbrainz_lyricist	musicbrainz_type	wikidata_id	wikidata_description	wikidata_allmusic	wiki_link	composer
9	dataset/jazz1350/A Child Is Born.xml	Waltz	{'1': 'A', '17': 'B'}	30.0	1.0	A Child Is Born	dataset/jazz1350/A Child Is Born.xml	1969.0	jazz1350	A Child Is Born [jazz1350]	Bb	major	3.0	4.0	-2.0	1969.0	AB	3/4	Bb major	9	11529313-8411-4c12-849e-b75881232d5e	['Thad Jones']	['Alec Wilder']	Song	Q19571261	cantar espublizáu en 1969		https://en.wikipedia.org/wiki/A_Child_Is_Born_(jazz_standard)	Thad Jones
10	dataset/jazz1350/A Felicidade.xml	Bossa Nova	{'1': 'A', '9': 'A', '17': 'B', '33': 'C', '49': 'D'}	56.0	2.0	A Felicidade	dataset/jazz1350/A Felicidade.xml	1958.0	jazz1350	A Felicidade [jazz1350]	A	minor	4.0	4.0	0.0	1958.0	AABCD	4/4	A minor	10	cd057a9a-d314-3199-bd7b-9e63f31f8083	['Antônio Carlos Jobim', 'Vinicius de Moraes']	['Vinicius de Moraes']	Song	Q30326624	"original film song composed by Antônio Carlos Jobim, lyrics by Vinícius de Moraes; from the 1959 film ""Black Orpheus"""	mc0002474962	https://en.wikipedia.org/wiki/A_felicidade	Antônio Carlos Jobim
10	dataset/jazz1350/A Felicidade.xml	Bossa Nova	{'1': 'A', '9': 'A', '17': 'B', '33': 'C', '49': 'D'}	56.0	2.0	A Felicidade	dataset/jazz1350/A Felicidade.xml	1958.0	jazz1350	A Felicidade [jazz1350]	A	minor	4.0	4.0	0.0	1958.0	AABCD	4/4	A minor	10	cd057a9a-d314-3199-bd7b-9e63f31f8083	['Antônio Carlos Jobim', 'Vinicius de Moraes']	['Vinicius de Moraes']	Song	Q30326624	"original film song composed by Antônio Carlos Jobim, lyrics by Vinícius de Moraes; from the 1959 film ""Black Orpheus"""	mc0002474962	https://en.wikipedia.org/wiki/A_felicidade	Vinicius de Moraes
11	dataset/jazz1350/A Fine Romance.xml	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	A Fine Romance	dataset/jazz1350/A Fine Romance.xml	1936.0	jazz1350	A Fine Romance [jazz1350]	C	major	4.0	4.0	0.0	1936.0	ABAC	4/4	C major	11	609a42a8-24fb-3bfd-a815-e333e7f7f4f4	['Jerome Kern']	['Dorothy Fields']	Song	Q4656767	"original song composed by Jerome Kern, lyrics by Dorothy Fields; from the 1936 film ""Swing Time"""	mc0002453528	https://en.wikipedia.org/wiki/A_Fine_Romance_(song)	Jerome Kern
12	dataset/jazz1350/A Flower Is A Lovesome Thing.xml	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Flower Is A Lovesome Thing	dataset/jazz1350/A Flower Is A Lovesome Thing.xml	1941.0	jazz1350	A Flower Is A Lovesome Thing [jazz1350]	C#	major	4.0	4.0	-5.0	1941.0	AABA	4/4	C# major	12	3ba23cab-2bc8-359e-a846-14d63b1919c2	['Billy Strayhorn']	[]	Song					Billy Strayhorn
13	dataset/jazz1350/A Foggy Day.xml	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	34.0	2.0	A Foggy Day	dataset/jazz1350/A Foggy Day.xml	1937.0	jazz1350	A Foggy Day [jazz1350]	F	major	4.0	4.0	-1.0	1937.0	ABAC	4/4	F major	13	f2d4ab2e-9ea6-338f-8343-f0c557d4cb6b	['George Gershwin']	['Ira Gershwin']	Song	Q300410	"original song written and composed by George and Ira Gershwin; from the 1937 film ""A Damsel in Distress"""	mc0002450407	https://en.wikipedia.org/wiki/A_Foggy_Day	George Gershwin
14	dataset/jazz1350/A Ghost Of A Chance.xml	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	A Ghost Of A Chance	dataset/jazz1350/A Ghost Of A Chance.xml	1932.0	jazz1350	A Ghost Of A Chance [jazz1350]	C	major	4.0	4.0	0.0	1932.0	AABA	4/4	C major	14	ade9c30c-faf5-3219-aa4a-6631d39deea7	['Victor Young']	['Bing Crosby', 'Ned Washington']	Song	Q5976963	original song composed by composed by Victor Young, lyrics written by Ned Washington and Bing Crosby; first recorded by Bing Crosby	mc0002675613	https://en.wikipedia.org/wiki/I_Don%27t_Stand_a_Ghost_of_a_Chance_with_You	Victor Young
15	dataset/jazz1350/A Kiss To Build A Dream On.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Kiss To Build A Dream On	dataset/jazz1350/A Kiss To Build A Dream On.xml	1935.0	jazz1350	A Kiss To Build A Dream On [jazz1350]	C	major	4.0	4.0	0.0	1935.0	AABA	4/4	C major	15	7f8d6a17-e13b-328a-8e30-0a9dc00e7e4b	['Harry Ruby']	['Bert Kalmar', 'Oscar Hammerstein II']	Song	Q4657597	"song composed by Harry Ruby, lyrics by Bert Kalmar and Oscar Hammerstein II; from the 1951 movie ""The Strip"""	mc0002490251	https://en.wikipedia.org/wiki/A_Kiss_to_Build_a_Dream_On	Harry Ruby
16	dataset/jazz1350/A Little Tear.xml	Bossa Nova	{'1': 'A', '17': 'B'}	32.0	2.0	A Little Tear	dataset/jazz1350/A Little Tear.xml		jazz1350	A Little Tear [jazz1350]	C#	major	4.0	4.0	-5.0		AB	4/4	C# major	16		[]	[]						Deodato-Valle
17	dataset/jazz1350/A Lovely Way To Spend An Evening.xml	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Lovely Way To Spend An Evening	dataset/jazz1350/A Lovely Way To Spend An Evening.xml	1943.0	jazz1350	A Lovely Way To Spend An Evening [jazz1350]	F	major	4.0	4.0	-1.0	1943.0	AABA	4/4	F major	17	1bbd3f8c-c44c-404f-bb9a-5536a7f7af1e	['Jimmy McHugh']	['Harold Adamson']	Song	Q4657983	"original song composed by Jimmy McHugh, lyrics by Harold Adamson; from the 1944 film ""Higher and Higher"""	mc0002663070	https://en.wikipedia.org/wiki/A_Lovely_Way_to_Spend_an_Evening	Jimmy McHugh
